Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA
Volibear,Fighter,TOP,B,44.52,-2.34,49.08%,39.92%,2.92%,5.11%,1.73
Warwick,Fighter,JUNGLE,A,50.22,-0.5,49.93%,69.52%,4.92%,4.67%,2.29
Warwick,Fighter,TOP,B,45.21,-0.96,51.98%,27.89%,1.47%,4.67%,1.96
Wukong,Fighter,JUNGLE,S,63.5,-5.2,52.42%,73.10%,5.54%,11.73%,2.9
Wukong,Fighter,TOP,B,46.84,-7.52,50.92%,25.27%,1.93%,11.28%,2.11
Xayah,Marksman,ADC,C,35.64,-4.95,48.45%,97.91%,4.43%,0.51%,2.32
Xerath,Mage,SUPPORT,B,47.81,3.3,51.61%,56.60%,2.97%,2.59%,2.65
Xerath,Mage,MID,B,47.41,-4.6,49.39%,38.79%,1.98%,2.59%,3.02
Xin Zhao,Fighter,JUNGLE,D,32.6,-2.95,47.40%,87.39%,2.49%,0.49%,2.26
Yasuo,Fighter,MID,God,88.79,0.56,49.54%,66.95%,12.06%,24.98%,1.74
Yasuo,Fighter,TOP,B,43.04,-3.37,47.79%,15.71%,2.71%,24.98%,1.5
Yasuo,Fighter,ADC,D,30.51,-4.95,48.58%,16.22%,2.62%,24.98%,1.94
Yone,Assassin,MID,God,77.18,-1.87,49.96%,62.06%,10.11%,18.19%,1.91
Yone,Assassin,TOP,S,58.28,-5.17,48.56%,34.78%,5.32%,18.19%,1.63
Yorick,Fighter,TOP,A,49.58,2.65,52.12%,93.00%,2.77%,3.02%,1.67
Yuumi,Support,SUPPORT,God,93.41,-2.74,49.18%,98.62%,11.75%,31.82%,4.29
Zac,Tank,JUNGLE,A,56.1,-1.59,51.50%,77.38%,3.95%,3.83%,3.66
Zac,Tank,TOP,A,49,0,53.15%,12.59%,0.54%,3.83%,2.84
Zed,Assassin,MID,God,73.45,2.97,49.99%,71.92%,7.41%,28.64%,2.34
Zed,Assassin,JUNGLE,C,35.67,3.75,47.22%,23.24%,2.08%,28.64%,2.57
Zeri,Marksman,ADC,C,39.51,-11.93,46.03%,86.22%,7.31%,5.24%,2.24
Zeri,Marksman,MID,D,29.68,-11.59,44.33%,10.48%,0.88%,5.24%,2.28
Ziggs,Mage,MID,C,40,-1.71,49.25%,38.34%,0.85%,0.25%,2.43
Ziggs,Mage,ADC,D,30.99,-4.18,50.45%,50.84%,1.07%,0.25%,2.47
Zilean,Support,MID,A,49.44,-4.24,51.86%,14.26%,0.60%,2.04%,3.37
Zilean,Support,SUPPORT,B,46.59,-1.51,49.55%,81.34%,3.35%,2.16%,3.04
Zoe,Mage,MID,A,49.68,2.97,49.90%,91.45%,3.18%,1.41%,2.52
Zyra,Mage,SUPPORT,B,47.57,0.24,51.76%,90.68%,3.44%,2.00%,2.19
Aatrox,Fighter,TOP,God,89.36,8.15,50.38%,92.53%,11.12%,12.70%,1.96
Ahri,Mage,MID,God,70.1,4.73,49.78%,94.85%,8.68%,4.53%,2.58
Akali,Assassin,MID,God,77.82,-1.22,49.09%,70.33%,9.85%,17.78%,2.37
Akali,Assassin,TOP,A,48.28,-1.63,46.88%,28.63%,3.74%,17.78%,2.02
Akshan,Marksman,MID,A,51.09,2.88,51.62%,62.55%,2.91%,5.96%,2.27
Akshan,Marksman,TOP,B,44.17,-1.76,51.36%,29.10%,1.22%,5.96%,2.03
Alistar,Tank,SUPPORT,B,43.8,0.44,48.84%,95.76%,3.37%,0.75%,2.45
Amumu,Tank,JUNGLE,A,50.35,5.29,51.72%,42.51%,3.61%,3.90%,2.7
Amumu,Tank,SUPPORT,A,50.15,4.16,51.47%,56.34%,4.21%,3.90%,2.13
Anivia,Mage,MID,A,50.87,1.91,51.81%,79.25%,2.34%,2.62%,2.6
Anivia,Mage,SUPPORT,D,30.48,-0.39,46.66%,14.32%,0.38%,2.56%,2.24
Annie,Mage,MID,B,45.04,-1.01,51.08%,81.04%,1.58%,0.54%,2.33
Annie,Mage,SUPPORT,D,34.33,6.81,49.40%,10.37%,0.20%,0.59%,2.07
Aphelios,Marksman,ADC,D,34.58,1.71,46.86%,97.33%,5.70%,0.66%,2.04
Ashe,Marksman,SUPPORT,A,53.95,-2.44,49.32%,48.72%,6.49%,4.36%,2.38
Ashe,Marksman,ADC,B,46.7,-0.92,50.03%,48.48%,6.60%,4.36%,2.4
Aurelion Sol,Mage,MID,C,37.82,0.17,48.90%,86.33%,0.79%,0.29%,2.34
Azir,Mage,MID,B,47.22,0.15,47.74%,90.72%,4.35%,1.94%,2.13
